Name,Price,Rating,Price cut
PAGO FOREST: DRAGON'S REVENGE,69,77.87,55
Pilgrims,69,91.6,65
The Leisure of Grisaia,69,84.36,30
Treasure of a Blizzard,69,76.69,80
Nightshade,70,79.05,60
Sheep Love,70,85.99,30
First Strike: Classic,71,82.02,60
Blood Card,72,76.52,80
Doomed to Hell,72,76.85,75
My Riding Stables: Life with Horses,72,78.19,80
Heroes of the Three Kingdoms 3,73,81.67,30
BlazBlue: Chronophantasma Extend,74,87.37,85
Catmaze,74,79.72,70
DeadCore,74,81.53,75
ENSLAVED™: Odyssey to the West™ Premium Edition,74,82.76,85
FIND ALL 2: Middle Ages,74,88.34,25
Irony Curtain: From Matryoshka with Love,74,81.87,90
SATAZIUS,74,80.84,50
Sweet Shine,74,87.48,50
The Age of Decadence,74,78.86,75
WOLFLAME,74,79.35,50
Tinyfolks,76,89.06,25
""" DEPLOYMENT",77,78.03,90
Fei Duanmu VS Kobayashi 端木斐 VS 小林正雪,77,83.29,50
Golf Club Wasteland,77,79.5,70
If My Heart Had Wings - Deluxe Edition - Game and Soundtrack Bundle,77,88.98,80
Radiant Arc,77,80.28,50
ROCKETRON,77,76.6,50
Tower Of God: One Wish,78,78.3,60
HyperFleet,79,77.87,41
Kavel,79,78.69,41
Leisure Suit Larry - Wet Dreams Don't Dry,79,81.75,90
Lethal Lawns: Competitive Mowing Bloodsport,79,77.87,41
Milli & Greg,79,80.83,41
Rainbow Reactor,79,81.06,80
Milk Bottle And Monster Girl 2,80,81.21,50
Neon Chrome,80,87.05,77
The Chameleon,80,79.71,69
I’m going to die if I don’t eat sushi!,81,86.48,21
Seek Girl:Fog Ⅰ,81,81.88,21
捉妖物语/Monster Girl,81,78.39,10
CODE CRACKER 代码破译者,82,82.89,60
Peculiar Tales of Mid-Lake Pavilion,82,85.17,60
Classic Naval Combat Pack,83,76.8,80
Fleet Command,83,79.36,80
RUINER,83,87.59,80
Little Kite,84,78.43,50
Time Rifters,84,82.66,66
Bardbarian,85,84.43,55
Battle Chef Brigade Deluxe,87,91.96,80
Caladrius Blaze,87,76.21,80
Dead Man's Draw,87,79.08,50
Discolored,87,77.19,55
Hero of the Kingdom: The Lost Tales 2,87,84.45,50
Long Live The Queen,87,91.88,65
Modern Tales: Age of Invention,87,82.01,75
My Hidden Things,87,76.35,50
Shift Quantum - A Cyber Noir Puzzle Platformer,87,81.82,80
SilverFrame(纯白星原),87,76.83,50
Splody,87,82.1,50
The TakeOver,87,80.99,80
This Is the Police,87,80.82,75
Two Parsecs From Earth,87,76.97,55
汉字大冒险,87,81.11,50
阿比斯的宝藏 - Treasure of abyss,87,77.44,50
Aspire: Ina's Tale,89,79.57,70
PUSS!,89,83.6,70
Ancient Enemy,90,85.1,75
Egypt: Old Kingdom,90,81.75,75
Evergate,90,85.87,65
Hive,90,81.08,65
Mirrorama,90,79.71,75
Radiis,90,79.89,75
Shadowhand: RPG Card Game,90,79.26,75
Balloon Flight,92,81.97,40
Língua,92,78.44,40
Townscaper,92,94.08,40
Wanba Warriors,92,87.63,54
FIRE HEAT,93,76.34,80
Mess Adventures 2,93,76,30
Running on Magic,93,79.04,30
ALLTYNEX Second,94,78.53,50
Forward to the Sky,94,79.05,50
KAMUI,94,82.19,50
RefleX,94,80.76,50
Find Yourself,96,81.29,45
Aircraft Evolution,97,76.97,50
Duel on Board,97,80.28,50
Spark the Electric Jester,97,86.25,50
Edna & Harvey: The Breakout - Anniversary Edition,99,85.38,80
Egglien,99,80.28,26
Graze Counter,99,87.88,60
Sanator: Scarlet Scarf,99,84.36,60
Sword of the Stars: Complete Collection,99,83.06,75
Trancelation,99.99,75.86,60
Plebby Quest: The Crusades,100,83.4,77
AIRHEART - Tales of broken Wings,102,76.8,70
Buissons,102,86.51,50
"Nina Aquila: Legal Eagle, Season One",102,84.65,50
Game Dev Studio,103,80.97,60
Geometry Arena,103,92.38,33
Offroad Mania,103,87.32,23
Towertale,103,83.13,60
CHUCHEL,104,78.71,65
Hand of Fate,104,87.45,75
Hidden Folks,104,93.62,65
Sakura Hime,104,87.67,30
Sakura Hime 2,104,84.76,30
Yu-Gi-Oh! Legacy of the Duelist,104,81.8,75
记得我,104,75.86,35
Eternal Liiivie - EP1 Liiivie Isolated From the World,105,76.97,40
Guns of Succubus,105,77.04,40
CursorFX,106,61.25,20
SoundPackager 10,106,59.43,20
少女的求生之路,106,77.88,20
I wanna be the Creator,107,92.02,31
Blood Card 2: Dark Mist,108,78.41,70
Cobra Kai: The Karate Kid Saga Continues,108,79.1,75
Icewind Dale: Enhanced Edition,108,86.05,75
Metal Unit,108,81.2,70
Sins of a Solar Empire: Trinity®,108,72.57,75
SteamWorld Dig 2,108,92.3,75
Streets of Rogue,108,93.94,75
The Last Campfire,108,93.48,70
LUNAR LICH/月球巫妖,109,86.56,35
Hovercars 3077: Underground racing,111,78.11,43
JumpJet Rex,112,82.21,55
Necken,113,76.12,15
云端之约,114,87.21,70
69 Mary Love,115,75.86,25
Adorable Witch 2,115,79.95,15
Go! Go! PogoGirl,115,80.28,25
CROSS†CHANNEL: Steam Edition,116,81.61,55
Rytmik Ultimate,116,81.56,70
Summer of '58,116,87.39,43
Furry Sex - GameDev Story 🎮,117,80.3,33
Monsters' Den: Godfall,118,79.38,66
A Sky Full of Stars 仰望夜空的星辰,119,89.84,70
MiniMap Kingdom,119,78.65,20
The Jewel of Monostructure,119,86.31,20
場外人生,119,81.34,20
祖玛少女/Zuma Girls,120,79.04,25
Alice and You in the planet of numbers,122,80.54,30
Gem Setter,122,76.34,30
Streamer Daily,122,83.37,66
Icemaze Cave: Skate Escape,123,77,20
iVIBRATE Ultimate Edition,123,79.45,20
RGB Rush,123,82.95,20
Sable's Grimoire: A Dragon's Treasure,123,84.87,20
Sable's Grimoire: Man And Elf,123,84.1,20
我反对这门亲事-I'm against this marriage,123,79.45,20
Starblast,124,77.97,50
Tenta Shooter,124,83.52,50
Operation Warcade VR,125,87.2,70
爱人 Lover,125,80.4,50
Intraquartz,126,78.3,35
Visionarium,126,76.44,35
Trine 4: The Nightmare Prince,128,88.14,75
Aery - A Journey Beyond Time,129,80.18,50
Before Your Eyes,129,94.74,50
Colorful Recolor,129,81.25,50
Demigod,129,72.34,50
Galactic Civilizations® I: Ultimate Edition,129,47.82,50
Her Story,129,87,50
Knight Bewitched 2,129,79.71,50
MECHBLAZE,129,81,50
Steel Vampire,129,81.3,50
The Corporate Machine,129,58.43,50
TrainerVR,129,80.47,50
Voxelgram,129,89.86,50
Fury Unleashed,130,85.62,70
Hive Complete Pack,130,81.54,65
PC Building Simulator,130,92.42,70
Rebirth:Mr Wang,130,78.47,35
Jester / King,130.5,82.19,70
PewDiePie: Legend of the Brofist,132,85.44,30
门里,135,82.02,30
Touhou Endless Dream,136,90.79,30
UndercoverAgent,136,78.43,30
LA FORET DE PAGO : LA VENGEANCE DU DRAGON,138,78.13,10
Secret Pie,138,84.66,10
ALLTYNEX Second Deluxe Edition,139,78.62,50
Carpe Lucem - Seize The Light VR,139,77.32,60
Gizmos: Steampunk Nonograms,139,77.34,30
KAMUI Deluxe Edition,139,82.19,50
RefleX Deluxe Edition,139,80.43,50
SOKOBOT,139,81.03,55
Fantasy Fishing Town,140,76.6,20
Locked Up,140,76.45,53
Regrowth,142,79.23,45
The Fall of the Dungeon Guardians - Enhanced Edition,142,79.41,66
Void Destroyer 2,142,78.62,45
Citizens: Far Lands,144,83.13,50
hoVRboard,144,79.23,50
If My Heart Had Wings -Flight Diary-,144,87.46,60
Low Magic Age,144,87.26,60
Siege of Centauri,144,62.07,60
Supraland,144,92.62,62
The Political Machine 2020,144,78.05,60
Totally Convenient,144,77.41,50
69 Iris Hot,146,77.4,25
Marfusha,146,89.39,25
WhiteLily 1：丽丽公主,146,89.49,15
Master Of Pottery,147,93.41,46
The Shadow of Yidhra,147,86.99,45
Time Warpers,147,80.06,66
11-11 Memories Retold,149,81.73,85
Adventure of a Lifetime,149,89.94,50
Barotrauma,149,90.61,75
Coloring Game: Girls,149,76.85,25
de Blob,149,81.12,75
de Blob 2,149,82.45,75
Interrogation: You will be deceived,149,78.68,50
Intravenous,149,87.34,50
RollingSky2,149,85.82,50
Rytmik Studio,149,79.18,70
Space Scavenger,149,80.6,50
Spark the Electric Jester 2,149,84.63,50
Viviette,149,82.29,50
Zool Redimensioned,149,86.26,50
Delivery from the Pain:Survival / 末日方舟:生存,150,76.47,50
CARNAGE OFFERING,152,78.51,65
Ero Manager,152,84.45,20
Heroes of the Three Kingdoms 5,152,80.52,30
Heroes of the Three Kingdoms 6,152,76.18,30
Neon City Riders,152,77.75,65
Overcrowd: A Commute 'Em Up,152,80.19,65
Shaolin vs Wutang,154,86.79,50
Hellsinker.,155,83.4,40
Palladium: Adventure in Greece,155,77.41,40
扫雷冒险谭2 ~露露姆的冒险~,155,76.67,40
HoloBall,157,83.83,55
The Legend of Pomodoro,157,78.74,15
Treefortress Bundle,157,84.63,55
Princess&Blade,158,76.36,20
SpaceNET - A Space Adventure,158,81.46,45
Fling to the Finish,159,81.02,60
Fly Punch Boom!,159,81.51,60
Zombie Rollerz: Pinball Heroes,159,82.34,60
Eldervale,159.99,81.69,60
Notes of Soul,160,76.37,80
Adorable Witch 3,161,79.98,15
Hive Complete Pack (Two Pack),162,81.54,65
Life of Fly,162,80.51,55
Touhou Monster TD ~ 幻想乡妖怪塔防,166,84.63,60
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,167,84.93,75
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,167,87.45,75
3dSen PC,168,84.99,35
Evasion from Hell,168,78.74,35
Lust Epidemic,168,84.76,35
Room to Grow,168,85.84,35
Ashes of the Singularity: Escalation,169,73.71,67
Federation77,170,80.51,10
What Lies in the Multiverse,170,88.45,70
How to Fool a Liar King,173,76.08,40
IZBOT 2,173,80.28,40
BlazBlue Centralfiction,174,90.77,75
Everything,174,80.62,75
Lost: Find,174,84.45,13
NAMCO MUSEUM ARCHIVES Vol 2,174,77.19,75
Panty Party,174,86.49,50
Rainbow Billy: The Curse of the Leviathan,174,85.17,60
Sword Art Online Re: Hollow Fragment,174,77.16,75
你已经猜到结局了吗,175,84.01,10
Escape Dungeon,179,76.51,40
Haiki,179,82.55,40
LAST EMBRYO -EITHER OF BRAVE TO STORY-,179,87.1,40
The Afterglow of Grisaia,179,85.05,40
The Melody of Grisaia,179,83.33,40
Toilet Chronicles,179,84.24,10
Candleman: The Complete Journey,180,87.35,50
CounterAttack,180,83.39,50
FAR: Lone Sails,180,91.63,50
Mythic Ocean,180,85.7,50
Puzzle Forge Dungeon,180,76.12,50
Renryuu: Ascension,180,81.66,50
The Snowboard Game,180,77.2,50
Very Very Valet,180,77.41,50
Athanasy,181,88.18,30
BATTLETECH,181,81.2,75
DANMAKAI: Red Forbidden Fruit,181,83.1,30
"Get To Work, Succubus-Chan!",181,75.98,30
Hero Lodge,181,79.05,30
Insect Swarm,181,80.62,30
Kraino Origins,181,77,30
Mixcraft 8 Home Studio,181,82.96,75
Quest Of Graal,181,79.71,30
Yu-Gi-Oh! Legacy of the Duelist : Link Evolution,181,79.11,75
Corona Blossom Vol.1 Gift From the Galaxy,183,87.92,45
Bocce Time! VR,184,82.39,10
Witch 3 Return,184,78.3,10
Leisure Suit Larry - Wet Dreams Dry Twice,185,82.56,80
BAYANI - Fighting Game,186,77.01,50
